burst_id,input_n_peaks,input_shot_sigma_ms,acf_sigma_ms,acf_fwhm_ms,acf_resid_rms,peak_count,peak_rate_per_ms,t90_ms,median_peak_width_ms,mean_peak_width_ms,median_sep_ms,mean_sep_ms,sep_cv,amplitude_entropy,amplitude_gini,profile_modulation_index,psd_slope,peak_threshold_sigma,min_peak_distance_ms,complexity_mode,used_will,will_method,duration_ms,tsamp_ms,dm,nfreq
dense_n24_r05,24,0.08,0.5223473321242763,1.2300339681546846,0.025076559431835413,18,12.228260869565217,1.472,0.017462250288341693,0.09858745878800557,0.064,0.12141176470588236,0.9799994971847195,0.8805488279650875,0.4317426241474138,18.91811314298546,-2.5946963196482393,5.0,0.04,dense,True,twodim,12.0,0.016,220.0,128
dense_n36_r00,36,0.08,0.6791435009046408,1.5992607293827428,0.08868338496436846,22,10.49618320610687,2.096,0.026730957347294408,0.07215940474112673,0.064,0.1478095238095238,1.0230627818602291,0.819427247700987,0.5627437364440477,16.382485718722307,-2.6076953326381997,5.0,0.04,dense,True,twodim,12.0,0.016,220.0,128
dense_n36_r01,36,0.08,0.6539477620170705,1.5399292984009265,0.09081285576664949,21,10.5,2.0,0.01481931255626023,0.0716997482392554,0.088,0.136,0.9378618102292604,0.8859550344461029,0.4388126626932254,16.370107190083115,-2.725856942663042,5.0,0.04,dense,True,twodim,12.0,0.016,220.0,128
dense_n36_r02,36,0.08,0.6615526541536291,1.5578374508443928,0.050784224918623756,19,7.969798657718121,2.384,0.01221874673983075,0.08573453867003206,0.16799999999999998,0.16533333333333333,0.6712468402156391,0.8591983551582375,0.48432044613933556,16.31783830899624,-2.5326785256734246,5.0,0.04,dense,True,twodim,12.0,0.016,220.0,128
dense_n36_r03,36,0.08,0.8063280751761805,1.8987575142960922,0.05945023566502324,28,11.824324324324325,2.368,0.011788698064805432,0.06631632129150532,0.064,0.1060740740740741,0.8139954289856531,0.9237982324335423,0.3742333636738182,15.208825463904976,-2.3783823340636925,5.0,0.04,dense,True,twodim,12.0,0.016,220.0,128
dense_n36_r04,36,0.08,0.9212268333157277,2.1693234131122607,0.07315972459698498,17,7.277397260273973,2.336,0.02177120393454243,0.09359644798487819,0.2,0.183,0.6891098215404492,0.9524791756780966,0.2590340621618983,13.904495303055223,-2.3671222857998955,5.0,0.04,dense,True,twodim,12.0,0.016,220.0,128
dense_n36_r05,36,0.08,0.6464052093972144,1.5221679443009886,0.0971800058702246,24,11.450381679389313,2.096,0.012498148858479,0.07865582228923514,0.048,0.127304347826087,1.0433295425628588,0.8759332284506562,0.47519471518889644,16.263697548845286,-2.5050728902214585,5.0,0.04,dense,True,twodim,12.0,0.016,220.0,128
clustered_n03_r00,3,0.08,0.20545192898912276,0.4838023206738615,0.014342348013144532,3,6.46551724137931,0.464,0.07570895598918469,0.15910042374935196,0.272,0.272,0.1764705882352941,0.6105675557313337,0.40808801788152804,30.266100475984885,-2.964784532799084,5.0,0.04,clustered,True,twodim,12.0,0.016,220.0,128
clustered_n03_r01,3,0.08,0.12868981728068948,0.30304136132393783,0.04183857160764599,3,2.7173913043478257,1.104,0.18942782847385026,0.14072449254723082,0.5760000000000001,0.5760000000000001,0.5277777777777777,0.3890569437009131,0.5657886339812401,32.63984722499468,-3.4550263495219156,5.0,0.04,clustered,True,twodim,12.0,0.016,220.0,128
clustered_n03_r02,3,0.08,0.16254941089581953,0.382774611085448,0.0014508161014017943,1,2.4038461538461537,0.41600000000000004,0.2691900271574923,0.2691900271574923,,,,0.0,0.0,33.53723486777918,-2.982777065381929,5.0,0.04,clustered,True,twodim,12.0,0.016,220.0,128
